Full Name,County,State,Population (as of July 2019)
"Licking County, Ohio",Licking County,Ohio,176862
"Logan County, Ohio",Logan County,Ohio,45672
"Lorain County, Ohio",Lorain County,Ohio,309833
"Lucas County, Ohio",Lucas County,Ohio,428348
"Madison County, Ohio",Madison County,Ohio,44731
"Mahoning County, Ohio",Mahoning County,Ohio,228683
"Marion County, Ohio",Marion County,Ohio,65093
"Medina County, Ohio",Medina County,Ohio,179746
"Meigs County, Ohio",Meigs County,Ohio,22907
"Mercer County, Ohio",Mercer County,Ohio,41172
"Miami County, Ohio",Miami County,Ohio,106987
"Monroe County, Ohio",Monroe County,Ohio,13654
"Montgomery County, Ohio",Montgomery County,Ohio,531687
"Morgan County, Ohio",Morgan County,Ohio,14508
"Morrow County, Ohio",Morrow County,Ohio,35328
"Muskingum County, Ohio",Muskingum County,Ohio,86215
"Noble County, Ohio",Noble County,Ohio,14424
"Ottawa County, Ohio",Ottawa County,Ohio,40525
"Paulding County, Ohio",Paulding County,Ohio,18672
"Perry County, Ohio",Perry County,Ohio,36134
"Pickaway County, Ohio",Pickaway County,Ohio,58457
"Pike County, Ohio",Pike County,Ohio,27772
"Portage County, Ohio",Portage County,Ohio,162466
"Preble County, Ohio",Preble County,Ohio,40882
"Putnam County, Ohio",Putnam County,Ohio,33861
"Richland County, Ohio",Richland County,Ohio,121154
"Ross County, Ohio",Ross County,Ohio,76666
"Sandusky County, Ohio",Sandusky County,Ohio,58518
"Scioto County, Ohio",Scioto County,Ohio,75314
"Seneca County, Ohio",Seneca County,Ohio,55178
"Shelby County, Ohio",Shelby County,Ohio,48590
"Stark County, Ohio",Stark County,Ohio,370606
"Summit County, Ohio",Summit County,Ohio,541013
"Trumbull County, Ohio",Trumbull County,Ohio,197974
"Tuscarawas County, Ohio",Tuscarawas County,Ohio,91987
"Union County, Ohio",Union County,Ohio,58988
"Van Wert County, Ohio",Van Wert County,Ohio,28275
"Vinton County, Ohio",Vinton County,Ohio,13085
"Warren County, Ohio",Warren County,Ohio,234602
"Washington County, Ohio",Washington County,Ohio,59911
"Wayne County, Ohio",Wayne County,Ohio,115710
"Williams County, Ohio",Williams County,Ohio,36692
"Wood County, Ohio",Wood County,Ohio,130817
"Wyandot County, Ohio",Wyandot County,Ohio,21772
"Adair County, Oklahoma",Adair County,Oklahoma,22194
"Alfalfa County, Oklahoma",Alfalfa County,Oklahoma,5702
"Atoka County, Oklahoma",Atoka County,Oklahoma,13758
"Beaver County, Oklahoma",Beaver County,Oklahoma,5311
"Beckham County, Oklahoma",Beckham County,Oklahoma,21859
"Blaine County, Oklahoma",Blaine County,Oklahoma,9429
"Bryan County, Oklahoma",Bryan County,Oklahoma,47995
"Caddo County, Oklahoma",Caddo County,Oklahoma,28762
"Canadian County, Oklahoma",Canadian County,Oklahoma,148306
"Carter County, Oklahoma",Carter County,Oklahoma,48111
"Cherokee County, Oklahoma",Cherokee County,Oklahoma,48657
"Choctaw County, Oklahoma",Choctaw County,Oklahoma,14672
"Cimarron County, Oklahoma",Cimarron County,Oklahoma,2137
"Cleveland County, Oklahoma",Cleveland County,Oklahoma,284014
"Coal County, Oklahoma",Coal County,Oklahoma,5495
"Comanche County, Oklahoma",Comanche County,Oklahoma,120749
"Cotton County, Oklahoma",Cotton County,Oklahoma,5666
"Craig County, Oklahoma",Craig County,Oklahoma,14142
"Creek County, Oklahoma",Creek County,Oklahoma,71522
"Custer County, Oklahoma",Custer County,Oklahoma,29003
"Delaware County, Oklahoma",Delaware County,Oklahoma,43009
"Dewey County, Oklahoma",Dewey County,Oklahoma,4891
"Ellis County, Oklahoma",Ellis County,Oklahoma,3859
"Garfield County, Oklahoma",Garfield County,Oklahoma,61056
"Garvin County, Oklahoma",Garvin County,Oklahoma,27711
"Grady County, Oklahoma",Grady County,Oklahoma,55834
"Grant County, Oklahoma",Grant County,Oklahoma,4333
"Greer County, Oklahoma",Greer County,Oklahoma,5712
"Harmon County, Oklahoma",Harmon County,Oklahoma,2653
"Harper County, Oklahoma",Harper County,Oklahoma,3688
"Haskell County, Oklahoma",Haskell County,Oklahoma,12627
"Hughes County, Oklahoma",Hughes County,Oklahoma,13279
"Jackson County, Oklahoma",Jackson County,Oklahoma,24530
"Jefferson County, Oklahoma",Jefferson County,Oklahoma,6002
"Johnston County, Oklahoma",Johnston County,Oklahoma,11085
"Kay County, Oklahoma",Kay County,Oklahoma,43538
"Kingfisher County, Oklahoma",Kingfisher County,Oklahoma,15765
"Kiowa County, Oklahoma",Kiowa County,Oklahoma,8708
"Latimer County, Oklahoma",Latimer County,Oklahoma,10073
"Le Flore County, Oklahoma",Le Flore County,Oklahoma,49853
"Lincoln County, Oklahoma",Lincoln County,Oklahoma,34877
"Logan County, Oklahoma",Logan County,Oklahoma,48011
"Love County, Oklahoma",Love County,Oklahoma,10253
"McClain County, Oklahoma",McClain County,Oklahoma,40474
"McCurtain County, Oklahoma",McCurtain County,Oklahoma,32832
"McIntosh County, Oklahoma",McIntosh County,Oklahoma,19596
"Major County, Oklahoma",Major County,Oklahoma,7629
"Marshall County, Oklahoma",Marshall County,Oklahoma,16931
"Mayes County, Oklahoma",Mayes County,Oklahoma,41100
"Murray County, Oklahoma",Murray County,Oklahoma,14073
"Muskogee County, Oklahoma",Muskogee County,Oklahoma,67997
"Noble County, Oklahoma",Noble County,Oklahoma,11131
"Nowata County, Oklahoma",Nowata County,Oklahoma,10076
"Okfuskee County, Oklahoma",Okfuskee County,Oklahoma,11993
"Oklahoma County, Oklahoma",Oklahoma County,Oklahoma,797434
"Okmulgee County, Oklahoma",Okmulgee County,Oklahoma,38465
"Osage County, Oklahoma",Osage County,Oklahoma,46963
"Ottawa County, Oklahoma",Ottawa County,Oklahoma,31127
"Pawnee County, Oklahoma",Pawnee County,Oklahoma,16376
"Payne County, Oklahoma",Payne County,Oklahoma,81784
"Pittsburg County, Oklahoma",Pittsburg County,Oklahoma,43654
"Pontotoc County, Oklahoma",Pontotoc County,Oklahoma,38284
"Pottawatomie County, Oklahoma",Pottawatomie County,Oklahoma,72592
"Pushmataha County, Oklahoma",Pushmataha County,Oklahoma,11096
"Roger Mills County, Oklahoma",Roger Mills County,Oklahoma,3583
"Rogers County, Oklahoma",Rogers County,Oklahoma,92459
"Seminole County, Oklahoma",Seminole County,Oklahoma,24258
"Sequoyah County, Oklahoma",Sequoyah County,Oklahoma,41569
"Stephens County, Oklahoma",Stephens County,Oklahoma,43143
"Texas County, Oklahoma",Texas County,Oklahoma,19983
"Tillman County, Oklahoma",Tillman County,Oklahoma,7250
"Tulsa County, Oklahoma",Tulsa County,Oklahoma,651552
"Wagoner County, Oklahoma",Wagoner County,Oklahoma,81289
"Washington County, Oklahoma",Washington County,Oklahoma,51527
"Washita County, Oklahoma",Washita County,Oklahoma,10916
"Woods County, Oklahoma",Woods County,Oklahoma,8793
"Woodward County, Oklahoma",Woodward County,Oklahoma,20211
"Baker County, Oregon",Baker County,Oregon,16124
"Benton County, Oregon",Benton County,Oregon,93053
"Clackamas County, Oregon",Clackamas County,Oregon,418187
"Clatsop County, Oregon",Clatsop County,Oregon,40224
"Columbia County, Oregon",Columbia County,Oregon,52354
"Coos County, Oregon",Coos County,Oregon,64487
"Crook County, Oregon",Crook County,Oregon,24404
"Curry County, Oregon",Curry County,Oregon,22925
"Deschutes County, Oregon",Deschutes County,Oregon,197692
"Douglas County, Oregon",Douglas County,Oregon,110980
"Gilliam County, Oregon",Gilliam County,Oregon,1912
"Grant County, Oregon",Grant County,Oregon,7199
"Harney County, Oregon",Harney County,Oregon,7393
"Hood River County, Oregon",Hood River County,Oregon,23382
"Jackson County, Oregon",Jackson County,Oregon,220944
"Jefferson County, Oregon",Jefferson County,Oregon,24658
"Josephine County, Oregon",Josephine County,Oregon,87487
"Klamath County, Oregon",Klamath County,Oregon,68238
"Lake County, Oregon",Lake County,Oregon,7869
"Lane County, Oregon",Lane County,Oregon,382067
"Lincoln County, Oregon",Lincoln County,Oregon,49962
"Linn County, Oregon",Linn County,Oregon,129749
"Malheur County, Oregon",Malheur County,Oregon,30571
"Marion County, Oregon",Marion County,Oregon,347818
"Morrow County, Oregon",Morrow County,Oregon,11603
"Multnomah County, Oregon",Multnomah County,Oregon,812855
"Polk County, Oregon",Polk County,Oregon,86085
"Sherman County, Oregon",Sherman County,Oregon,1780
"Tillamook County, Oregon",Tillamook County,Oregon,27036
"Umatilla County, Oregon",Umatilla County,Oregon,77950
"Union County, Oregon",Union County,Oregon,26835
"Wallowa County, Oregon",Wallowa County,Oregon,7208
"Wasco County, Oregon",Wasco County,Oregon,26682
"Washington County, Oregon",Washington County,Oregon,601592
"Wheeler County, Oregon",Wheeler County,Oregon,1332
"Yamhill County, Oregon",Yamhill County,Oregon,107100
"Adams County, Pennsylvania",Adams County,Pennsylvania,103009
"Allegheny County, Pennsylvania",Allegheny County,Pennsylvania,1216045
"Armstrong County, Pennsylvania",Armstrong County,Pennsylvania,64735
"Beaver County, Pennsylvania",Beaver County,Pennsylvania,163929
"Bedford County, Pennsylvania",Bedford County,Pennsylvania,47888
"Berks County, Pennsylvania",Berks County,Pennsylvania,421164
"Blair County, Pennsylvania",Blair County,Pennsylvania,121829
"Bradford County, Pennsylvania",Bradford County,Pennsylvania,60323
"Bucks County, Pennsylvania",Bucks County,Pennsylvania,628270
"Butler County, Pennsylvania",Butler County,Pennsylvania,187853
"Cambria County, Pennsylvania",Cambria County,Pennsylvania,130192
"Cameron County, Pennsylvania",Cameron County,Pennsylvania,4447
"Carbon County, Pennsylvania",Carbon County,Pennsylvania,64182
"Centre County, Pennsylvania",Centre County,Pennsylvania,162385
"Chester County, Pennsylvania",Chester County,Pennsylvania,524989
"Clarion County, Pennsylvania",Clarion County,Pennsylvania,38438
"Clearfield County, Pennsylvania",Clearfield County,Pennsylvania,79255
"Clinton County, Pennsylvania",Clinton County,Pennsylvania,38632
"Columbia County, Pennsylvania",Columbia County,Pennsylvania,64964
"Crawford County, Pennsylvania",Crawford County,Pennsylvania,84629
"Cumberland County, Pennsylvania",Cumberland County,Pennsylvania,253370
"Dauphin County, Pennsylvania",Dauphin County,Pennsylvania,278299
"Delaware County, Pennsylvania",Delaware County,Pennsylvania,566747
"Elk County, Pennsylvania",Elk County,Pennsylvania,29910
"Erie County, Pennsylvania",Erie County,Pennsylvania,269728
"Fayette County, Pennsylvania",Fayette County,Pennsylvania,129274
"Forest County, Pennsylvania",Forest County,Pennsylvania,7247
"Franklin County, Pennsylvania",Franklin County,Pennsylvania,155027
"Fulton County, Pennsylvania",Fulton County,Pennsylvania,14530
"Greene County, Pennsylvania",Greene County,Pennsylvania,36233
"Huntingdon County, Pennsylvania",Huntingdon County,Pennsylvania,45144
"Indiana County, Pennsylvania",Indiana County,Pennsylvania,84073
"Jefferson County, Pennsylvania",Jefferson County,Pennsylvania,43425
"Juniata County, Pennsylvania",Juniata County,Pennsylvania,24763
"Lackawanna County, Pennsylvania",Lackawanna County,Pennsylvania,209674
"Lancaster County, Pennsylvania",Lancaster County,Pennsylvania,545724
"Lawrence County, Pennsylvania",Lawrence County,Pennsylvania,85512
"Lebanon County, Pennsylvania",Lebanon County,Pennsylvania,141793
"Lehigh County, Pennsylvania",Lehigh County,Pennsylvania,369318
"Luzerne County, Pennsylvania",Luzerne County,Pennsylvania,317417
"Lycoming County, Pennsylvania",Lycoming County,Pennsylvania,113299
"McKean County, Pennsylvania",McKean County,Pennsylvania,40625
"Mercer County, Pennsylvania",Mercer County,Pennsylvania,109424
"Mifflin County, Pennsylvania",Mifflin County,Pennsylvania,46138
"Monroe County, Pennsylvania",Monroe County,Pennsylvania,170271
"Montgomery County, Pennsylvania",Montgomery County,Pennsylvania,830915
"Montour County, Pennsylvania",Montour County,Pennsylvania,18230
"Northampton County, Pennsylvania",Northampton County,Pennsylvania,305285
"Northumberland County, Pennsylvania",Northumberland County,Pennsylvania,90843
"Perry County, Pennsylvania",Perry County,Pennsylvania,46272
"Philadelphia County, Pennsylvania",Philadelphia County,Pennsylvania,1584064
"Pike County, Pennsylvania",Pike County,Pennsylvania,55809
"Potter County, Pennsylvania",Potter County,Pennsylvania,16526
"Schuylkill County, Pennsylvania",Schuylkill County,Pennsylvania,141359
"Snyder County, Pennsylvania",Snyder County,Pennsylvania,40372
"Somerset County, Pennsylvania",Somerset County,Pennsylvania,73447
"Sullivan County, Pennsylvania",Sullivan County,Pennsylvania,6066
"Susquehanna County, Pennsylvania",Susquehanna County,Pennsylvania,40328
"Tioga County, Pennsylvania",Tioga County,Pennsylvania,40591
"Union County, Pennsylvania",Union County,Pennsylvania,44923
"Venango County, Pennsylvania",Venango County,Pennsylvania,50668
"Warren County, Pennsylvania",Warren County,Pennsylvania,39191
"Washington County, Pennsylvania",Washington County,Pennsylvania,206865
"Wayne County, Pennsylvania",Wayne County,Pennsylvania,51361
"Westmoreland County, Pennsylvania",Westmoreland County,Pennsylvania,348899
"Wyoming County, Pennsylvania",Wyoming County,Pennsylvania,26794
"York County, Pennsylvania",York County,Pennsylvania,449058
"Bristol County, Rhode Island",Bristol County,Rhode Island,48479
"Kent County, Rhode Island",Kent County,Rhode Island,164292
"Newport County, Rhode Island",Newport County,Rhode Island,82082
"Providence County, Rhode Island",Providence County,Rhode Island,638931
"Washington County, Rhode Island",Washington County,Rhode Island,125577
"Abbeville County, South Carolina",Abbeville County,South Carolina,24527
"Aiken County, South Carolina",Aiken County,South Carolina,170872
"Allendale County, South Carolina",Allendale County,South Carolina,8688
"Anderson County, South Carolina",Anderson County,South Carolina,202558
"Bamberg County, South Carolina",Bamberg County,South Carolina,14066
"Barnwell County, South Carolina",Barnwell County,South Carolina,20866
"Beaufort County, South Carolina",Beaufort County,South Carolina,192122
"Berkeley County, South Carolina",Berkeley County,South Carolina,227907
"Calhoun County, South Carolina",Calhoun County,South Carolina,14553
"Charleston County, South Carolina",Charleston County,South Carolina,411406
"Cherokee County, South Carolina",Cherokee County,South Carolina,57300
"Chester County, South Carolina",Chester County,South Carolina,32244
"Chesterfield County, South Carolina",Chesterfield County,South Carolina,45650
"Clarendon County, South Carolina",Clarendon County,South Carolina,33745
"Colleton County, South Carolina",Colleton County,South Carolina,37677
"Darlington County, South Carolina",Darlington County,South Carolina,66618
"Dillon County, South Carolina",Dillon County,South Carolina,30479
"Dorchester County, South Carolina",Dorchester County,South Carolina,162809
"Edgefield County, South Carolina",Edgefield County,South Carolina,27260
"Fairfield County, South Carolina",Fairfield County,South Carolina,22347
"Florence County, South Carolina",Florence County,South Carolina,138293
"Georgetown County, South Carolina",Georgetown County,South Carolina,62680
"Greenville County, South Carolina",Greenville County,South Carolina,523542
"Greenwood County, South Carolina",Greenwood County,South Carolina,70811
"Hampton County, South Carolina",Hampton County,South Carolina,19222
"Horry County, South Carolina",Horry County,South Carolina,354081
"Jasper County, South Carolina",Jasper County,South Carolina,30073
"Kershaw County, South Carolina",Kershaw County,South Carolina,66551
"Lancaster County, South Carolina",Lancaster County,South Carolina,98012
"Laurens County, South Carolina",Laurens County,South Carolina,67493
"Lee County, South Carolina",Lee County,South Carolina,16828
"Lexington County, South Carolina",Lexington County,South Carolina,298750
"McCormick County, South Carolina",McCormick County,South Carolina,9463
"Marion County, South Carolina",Marion County,South Carolina,30657
"Marlboro County, South Carolina",Marlboro County,South Carolina,26118
"Newberry County, South Carolina",Newberry County,South Carolina,38440
"Oconee County, South Carolina",Oconee County,South Carolina,79546
"Orangeburg County, South Carolina",Orangeburg County,South Carolina,86175
"Pickens County, South Carolina",Pickens County,South Carolina,126884
"Richland County, South Carolina",Richland County,South Carolina,415759
"Saluda County, South Carolina",Saluda County,South Carolina,20473
"Spartanburg County, South Carolina",Spartanburg County,South Carolina,319785
"Sumter County, South Carolina",Sumter County,South Carolina,106721
"Union County, South Carolina",Union County,South Carolina,27316
"Williamsburg County, South Carolina",Williamsburg County,South Carolina,30368
"York County, South Carolina",York County,South Carolina,280979
"Aurora County, South Dakota",Aurora County,South Dakota,2751
"Beadle County, South Dakota",Beadle County,South Dakota,18453
"Bennett County, South Dakota",Bennett County,South Dakota,3365
"Bon Homme County, South Dakota",Bon Homme County,South Dakota,6901
"Brookings County, South Dakota",Brookings County,South Dakota,35077
"Brown County, South Dakota",Brown County,South Dakota,38839
"Brule County, South Dakota",Brule County,South Dakota,5297
"Buffalo County, South Dakota",Buffalo County,South Dakota,1962
"Butte County, South Dakota",Butte County,South Dakota,10429
"Campbell County, South Dakota",Campbell County,South Dakota,1376
"Charles Mix County, South Dakota",Charles Mix County,South Dakota,9292
"Clark County, South Dakota",Clark County,South Dakota,3736
"Clay County, South Dakota",Clay County,South Dakota,14070
"Codington County, South Dakota",Codington County,South Dakota,28009
"Corson County, South Dakota",Corson County,South Dakota,4086
"Custer County, South Dakota",Custer County,South Dakota,8972
"Davison County, South Dakota",Davison County,South Dakota,19775
"Day County, South Dakota",Day County,South Dakota,5424
"Deuel County, South Dakota",Deuel County,South Dakota,4351
"Dewey County, South Dakota",Dewey County,South Dakota,5892
"Douglas County, South Dakota",Douglas County,South Dakota,2921
"Edmunds County, South Dakota",Edmunds County,South Dakota,3829
"Fall River County, South Dakota",Fall River County,South Dakota,6713
"Faulk County, South Dakota",Faulk County,South Dakota,2299
"Grant County, South Dakota",Grant County,South Dakota,7052
"Gregory County, South Dakota",Gregory County,South Dakota,4185
"Haakon County, South Dakota",Haakon County,South Dakota,1899
"Hamlin County, South Dakota",Hamlin County,South Dakota,6164
"Hand County, South Dakota",Hand County,South Dakota,3191
"Hanson County, South Dakota",Hanson County,South Dakota,3453
"Harding County, South Dakota",Harding County,South Dakota,1298
"Hughes County, South Dakota",Hughes County,South Dakota,17526
"Hutchinson County, South Dakota",Hutchinson County,South Dakota,7291
"Hyde County, South Dakota",Hyde County,South Dakota,1301
"Jackson County, South Dakota",Jackson County,South Dakota,3344
"Jerauld County, South Dakota",Jerauld County,South Dakota,2013
"Jones County, South Dakota",Jones County,South Dakota,903
"Kingsbury County, South Dakota",Kingsbury County,South Dakota,4939
"Lake County, South Dakota",Lake County,South Dakota,12797
"Lawrence County, South Dakota",Lawrence County,South Dakota,25844
"Lincoln County, South Dakota",Lincoln County,South Dakota,61128
"Lyman County, South Dakota",Lyman County,South Dakota,3781
"McCook County, South Dakota",McCook County,South Dakota,5586
"McPherson County, South Dakota",McPherson County,South Dakota,2379
"Marshall County, South Dakota",Marshall County,South Dakota,4935
"Meade County, South Dakota",Meade County,South Dakota,28332
"Mellette County, South Dakota",Mellette County,South Dakota,2061
"Miner County, South Dakota",Miner County,South Dakota,2216
"Minnehaha County, South Dakota",Minnehaha County,South Dakota,193134
"Moody County, South Dakota",Moody County,South Dakota,6576
"Oglala Lakota County, South Dakota",Oglala Lakota County,South Dakota,14177
"Pennington County, South Dakota",Pennington County,South Dakota,113775
"Perkins County, South Dakota",Perkins County,South Dakota,2865
"Potter County, South Dakota",Potter County,South Dakota,2153
"Roberts County, South Dakota",Roberts County,South Dakota,10394
"Sanborn County, South Dakota",Sanborn County,South Dakota,2344
"Spink County, South Dakota",Spink County,South Dakota,6376
"Stanley County, South Dakota",Stanley County,South Dakota,3098
"Sully County, South Dakota",Sully County,South Dakota,1391
"Todd County, South Dakota",Todd County,South Dakota,10177
"Tripp County, South Dakota",Tripp County,South Dakota,5441
"Turner County, South Dakota",Turner County,South Dakota,8384
"Union County, South Dakota",Union County,South Dakota,15932
"Walworth County, South Dakota",Walworth County,South Dakota,5435
"Yankton County, South Dakota",Yankton County,South Dakota,22814
"Ziebach County, South Dakota",Ziebach County,South Dakota,2756
"Anderson County, Tennessee",Anderson County,Tennessee,76978
"Bedford County, Tennessee",Bedford County,Tennessee,49713
"Benton County, Tennessee",Benton County,Tennessee,16160
"Bledsoe County, Tennessee",Bledsoe County,Tennessee,15064
"Blount County, Tennessee",Blount County,Tennessee,133088
"Bradley County, Tennessee",Bradley County,Tennessee,108110
"Campbell County, Tennessee",Campbell County,Tennessee,39842
"Cannon County, Tennessee",Cannon County,Tennessee,14678
"Carroll County, Tennessee",Carroll County,Tennessee,27767
"Carter County, Tennessee",Carter County,Tennessee,56391
"Cheatham County, Tennessee",Cheatham County,Tennessee,40667
"Chester County, Tennessee",Chester County,Tennessee,17297
"Claiborne County, Tennessee",Claiborne County,Tennessee,31959
"Clay County, Tennessee",Clay County,Tennessee,7615
"Cocke County, Tennessee",Cocke County,Tennessee,36004
"Coffee County, Tennessee",Coffee County,Tennessee,56520
"Crockett County, Tennessee",Crockett County,Tennessee,14230
"Cumberland County, Tennessee",Cumberland County,Tennessee,60520
"Davidson County, Tennessee",Davidson County,Tennessee,694144
"Decatur County, Tennessee",Decatur County,Tennessee,11663
"DeKalb County, Tennessee",DeKalb County,Tennessee,20490
"Dickson County, Tennessee",Dickson County,Tennessee,53948
"Dyer County, Tennessee",Dyer County,Tennessee,37159
"Fayette County, Tennessee",Fayette County,Tennessee,41133
"Fentress County, Tennessee",Fentress County,Tennessee,18523
"Franklin County, Tennessee",Franklin County,Tennessee,42208
"Gibson County, Tennessee",Gibson County,Tennessee,49133
"Giles County, Tennessee",Giles County,Tennessee,29464
"Grainger County, Tennessee",Grainger County,Tennessee,23320
"Greene County, Tennessee",Greene County,Tennessee,69069
"Grundy County, Tennessee",Grundy County,Tennessee,13427
"Hamblen County, Tennessee",Hamblen County,Tennessee,64934
"Hamilton County, Tennessee",Hamilton County,Tennessee,367804
"Hancock County, Tennessee",Hancock County,Tennessee,6620
"Hardeman County, Tennessee",Hardeman County,Tennessee,25050
"Hardin County, Tennessee",Hardin County,Tennessee,25652
"Hawkins County, Tennessee",Hawkins County,Tennessee,56786
"Haywood County, Tennessee",Haywood County,Tennessee,17304
"Henderson County, Tennessee",Henderson County,Tennessee,28117
"Henry County, Tennessee",Henry County,Tennessee,32345
"Hickman County, Tennessee",Hickman County,Tennessee,25178
"Houston County, Tennessee",Houston County,Tennessee,8201
"Humphreys County, Tennessee",Humphreys County,Tennessee,18582
"Jackson County, Tennessee",Jackson County,Tennessee,11786
"Jefferson County, Tennessee",Jefferson County,Tennessee,54495
"Johnson County, Tennessee",Johnson County,Tennessee,17788
"Knox County, Tennessee",Knox County,Tennessee,470313
"Lake County, Tennessee",Lake County,Tennessee,7016
"Lauderdale County, Tennessee",Lauderdale County,Tennessee,25633
"Lawrence County, Tennessee",Lawrence County,Tennessee,44142
"Lewis County, Tennessee",Lewis County,Tennessee,12268
"Lincoln County, Tennessee",Lincoln County,Tennessee,34366
"Loudon County, Tennessee",Loudon County,Tennessee,54068
"McMinn County, Tennessee",McMinn County,Tennessee,53794
"McNairy County, Tennessee",McNairy County,Tennessee,25694
"Macon County, Tennessee",Macon County,Tennessee,24602
"Madison County, Tennessee",Madison County,Tennessee,97984
"Marion County, Tennessee",Marion County,Tennessee,28907
"Marshall County, Tennessee",Marshall County,Tennessee,34375
"Maury County, Tennessee",Maury County,Tennessee,96387
"Meigs County, Tennessee",Meigs County,Tennessee,12422
"Monroe County, Tennessee",Monroe County,Tennessee,46545
"Montgomery County, Tennessee",Montgomery County,Tennessee,208993
"Moore County, Tennessee",Moore County,Tennessee,6488
"Morgan County, Tennessee",Morgan County,Tennessee,21403
"Obion County, Tennessee",Obion County,Tennessee,30069
"Overton County, Tennessee",Overton County,Tennessee,22241
"Perry County, Tennessee",Perry County,Tennessee,8076
"Pickett County, Tennessee",Pickett County,Tennessee,5048
"Polk County, Tennessee",Polk County,Tennessee,16832
"Putnam County, Tennessee",Putnam County,Tennessee,80245
"Rhea County, Tennessee",Rhea County,Tennessee,33167
"Roane County, Tennessee",Roane County,Tennessee,53382
"Robertson County, Tennessee",Robertson County,Tennessee,71813
"Rutherford County, Tennessee",Rutherford County,Tennessee,332285
"Scott County, Tennessee",Scott County,Tennessee,22068
"Sequatchie County, Tennessee",Sequatchie County,Tennessee,15026
"Sevier County, Tennessee",Sevier County,Tennessee,98250
"Shelby County, Tennessee",Shelby County,Tennessee,937166
"Smith County, Tennessee",Smith County,Tennessee,20157
"Stewart County, Tennessee",Stewart County,Tennessee,13715
"Sullivan County, Tennessee",Sullivan County,Tennessee,158348
"Sumner County, Tennessee",Sumner County,Tennessee,191283
"Tipton County, Tennessee",Tipton County,Tennessee,61599
"Trousdale County, Tennessee",Trousdale County,Tennessee,11284
"Unicoi County, Tennessee",Unicoi County,Tennessee,17883
"Union County, Tennessee",Union County,Tennessee,19972
"Van Buren County, Tennessee",Van Buren County,Tennessee,5872
"Warren County, Tennessee",Warren County,Tennessee,41277
"Washington County, Tennessee",Washington County,Tennessee,129375
"Wayne County, Tennessee",Wayne County,Tennessee,16673
"Weakley County, Tennessee",Weakley County,Tennessee,33328
"White County, Tennessee",White County,Tennessee,27345
"Williamson County, Tennessee",Williamson County,Tennessee,238412
"Wilson County, Tennessee",Wilson County,Tennessee,144657
"Anderson County, Texas",Anderson County,Texas,57735
"Andrews County, Texas",Andrews County,Texas,18705
"Angelina County, Texas",Angelina County,Texas,86715
"Aransas County, Texas",Aransas County,Texas,23510
"Archer County, Texas",Archer County,Texas,8553
"Armstrong County, Texas",Armstrong County,Texas,1887
"Atascosa County, Texas",Atascosa County,Texas,51153
"Austin County, Texas",Austin County,Texas,30032
"Bailey County, Texas",Bailey County,Texas,7000
"Bandera County, Texas",Bandera County,Texas,23112
"Bastrop County, Texas",Bastrop County,Texas,88723
"Baylor County, Texas",Baylor County,Texas,3509
"Bee County, Texas",Bee County,Texas,32565
"Bell County, Texas",Bell County,Texas,362924
"Bexar County, Texas",Bexar County,Texas,2003554
"Blanco County, Texas",Blanco County,Texas,11931
"Borden County, Texas",Borden County,Texas,654
"Bosque County, Texas",Bosque County,Texas,18685
"Bowie County, Texas",Bowie County,Texas,93245
"Brazoria County, Texas",Brazoria County,Texas,374264
"Brazos County, Texas",Brazos County,Texas,229211
"Brewster County, Texas",Brewster County,Texas,9203
"Briscoe County, Texas",Briscoe County,Texas,1546
"Brooks County, Texas",Brooks County,Texas,7093
"Brown County, Texas",Brown County,Texas,37864
"Burleson County, Texas",Burleson County,Texas,18443
"Burnet County, Texas",Burnet County,Texas,48155
"Caldwell County, Texas",Caldwell County,Texas,43664
"Calhoun County, Texas",Calhoun County,Texas,21290
"Callahan County, Texas",Callahan County,Texas,13943
"Cameron County, Texas",Cameron County,Texas,423163
"Camp County, Texas",Camp County,Texas,13094
"Carson County, Texas",Carson County,Texas,5926
"Cass County, Texas",Cass County,Texas,30026
"Castro County, Texas",Castro County,Texas,7530
"Chambers County, Texas",Chambers County,Texas,43837
"Cherokee County, Texas",Cherokee County,Texas,52646
"Childress County, Texas",Childress County,Texas,7306
"Clay County, Texas",Clay County,Texas,10471
"Cochran County, Texas",Cochran County,Texas,2853
"Coke County, Texas",Coke County,Texas,3387
"Coleman County, Texas",Coleman County,Texas,8175
"Collin County, Texas",Collin County,Texas,1034730
"Collingsworth County, Texas",Collingsworth County,Texas,2920
"Colorado County, Texas",Colorado County,Texas,21493
"Comal County, Texas",Comal County,Texas,156209
"Comanche County, Texas",Comanche County,Texas,13635
"Concho County, Texas",Concho County,Texas,2726
"Cooke County, Texas",Cooke County,Texas,41257
"Coryell County, Texas",Coryell County,Texas,75951
"Cottle County, Texas",Cottle County,Texas,1398
"Crane County, Texas",Crane County,Texas,4797
"Crockett County, Texas",Crockett County,Texas,3464
"Crosby County, Texas",Crosby County,Texas,5737
"Culberson County, Texas",Culberson County,Texas,2171
"Dallam County, Texas",Dallam County,Texas,7287
"Dallas County, Texas",Dallas County,Texas,2635516
"Dawson County, Texas",Dawson County,Texas,12728
"Deaf Smith County, Texas",Deaf Smith County,Texas,18546
"Delta County, Texas",Delta County,Texas,5331
"Denton County, Texas",Denton County,Texas,887207
"DeWitt County, Texas",DeWitt County,Texas,20160
